uid,title,session,abstract,pdf,video,company,channel_name,channel_url,external_web_link,type
spotify,Spotify,Platinum,,spotify.pdf,https://www.youtube.com/embed/M7LQYW6DCb0,Spotify,,,https://research.atspotify.com/,Booth + communication channel
adobe,Audio AI for Human Centered Creativity,Gold,,adobe.pdf,,Adobe,,,https://www.adobe.com/,Booth + communication channel
deezer,Deezer Research: Exploring music at scale,Gold,,deezer.pdf,,Deezer,,,https://www.deezer.com/soon,Booth + communication channel
utopia,Music Analysis and Data Science at Utopia,Gold,,https://drive.google.com/file/d/1bj-v_RC_1SFIFLu1Mo_TXQMR5fbDtRfE/view?usp=share_link,https://drive.google.com/file/d/1KkgUZ8W4isdIfPHx78st9i3n5Bv9eSvs/view?usp=share_link,Utopia Music,,,https://utopiamusic.com/,Booth + communication channel
sirius,MIR and Music Recommendation Research at SiriusXM / Pandora,Gold,,sirius.pdf,https://www.youtube.com/embed/k5_HXG81vUo,SiriusXM/Pandora,,,https://www.siriusxm.com/pandora,Booth + communication channel
smule,Smule,Gold,,https://drive.google.com/file/d/13xHzIAmTy3nmvGiCxtHEuiQqy3MVg3Yp/view?usp=share_link,https://drive.google.com/file/d/1j8fdTaNtfNPHes191_behGJfJ1hXRg_z/view?usp=share_link,Smule,,,https://www.smule.com/,Booth + communication channel
moises,Moises,Platinum,,,,Moises,,,https://moises.ai/,Booth + communication channel
yamaha,Enhancing Music Performance Experience through MIR,Gold,,,https://drive.google.com/file/d/1uaPyxnHHsF2DCC65q238-DXXCHQd0HXW/preview,Yamaha,,,https://www.yamaha.com/,Booth + communication channel
chordify,Chordify,Gold,,,,Chordify,,,https://chordify.net/,Booth + communication channel
steinberg,Steinberg: Creativity First,Silver,"Steinberg has been providing award-winning, technologically advanced music and media production products for musicians and producers of music, video and film since 1984. Today, Steinberg is one of the world's largest manufacturers of music and audio software and hardware, with millions of users worldwide. The Steinberg range of products has long since found world renown in all aspects of modern digital audio processing. They form the backbone of facilities specializing in music composition and production, mastering, restoration, sound design and audio post for the music, game and film industries.

Since January 2005, Steinberg is a wholly owned subsidiary of Yamaha Corporation, the world's leading manufacturer of audio hardware.

For additional information, visit https://www.steinberg.net or contact us at press@steinberg.net",,https://www.youtube.com/embed/nc8I36RI4Y4,Steinberg Media Technologies GmbH,,,https://www.steinberg.net/,Booth only
soundwide,Soundwide,Silver,,,,iZotope,,,https://www.izotope.com/,Communication channel only
indsca,IndSCA,Gold,"Indian Speech Communication Association or IndSCA is a community/committee formed with distinguished faculty members from different institutions of India. With boosting speech, language and audio research activity in India as one of the major objectives, IndSCA is the pioneer committee in above mentioned subjects in the country. It also offers student travel grants to major international speech conference such as NIPS, ICML, Interspeech, ICASSP.

Please check our website for more details.",,,IndSCA,,,https://indsca.web.app/,
