uid,title,abstract,primary_author,authors,affiliation,bio,web_link,session,yt_id,thumbnail_link,channel_name,channel_url,release_consent
342,Bloom for cello and live electronics,"Bloom is a piece for violoncello and live electronics that explores tension, using the metaphor of a blooming flower as the basis from which the musical material and form are derived. The work begins with a very simple melodic idea using natural harmonics",Austin A Franklin,Austin A Franklin,Louisiana State University,"Austin Franklin is an internationally recognized composer and sound artist based in Baton Rouge, LA where he is currently pursuing a PhD in Experimental Music & Digital Media from Louisiana State University. His interests include music involving process, such as algorithmic composition and music incorporating machine learning technologies. His music has been described as having “striking effects of togetherness” and “a sense of an ending” (New York Concert Review). His latest album, Four Idols, has been described as “an elegant, artistic statement that demonstrates the flexible possibilities of electronic music” (The Sybaritic Singer). Austin has several pieces for percussion published through C-Alan Publications and his music has been performed throughout North America, South America, Europe, and Asia by ensembles such as Hypercube, The Estrella Consort, and the Four Corners Ensemble. His String Quartet No. 1 “Lanterns” was recently performed at Carnegie Hall.\n
Austin is the recipient of numerous awards and commissions, including 2nd Place in the American Prize for Composition, the RMN Call for Electroacoustic Works, PARMA Winter Call for Scores, and the ABLAZE Electronic Masters Series Call for Recordings. His music has also been selected for festivals and conferences such as ISMIR, SEAMUS, NEMF, Festival Ecos Urbanos, the New Music on the Bayou Festival, Splice Institute, NYCEMF Festival, WOCMAT, Alba Music Festival, Society of Composers Incorporated, and Electric LaTex. As a technologist, he has presented research at the Web Audio Conference that explores using Web API’s as the basis for designing digital instruments, and at the New Interfaces for Musical Expression Conference that involves simultaneous auditory and vibrotactile stimuli. For more visit austinfranklinmusic.com.\n
Cellist Eduard Teregulov is a soloist, chamber musician, educator, and scholar. Winner of several international competitions in the United States and Europe, he embraces his career of contemporary cellist in the United States. Currently based in Baton Rouge, LA, Teregulov maintains active performance schedule as a soloist and chamber musician across the country. In April 2022, Eduard Teregulov performed in Carnegie Hall with the nationally known Constantinides New Music Ensemble (Louisiana), where he presented music by Mara Gibson, Austin Franklin, Thomas Wilson, and Mikeila McQueston.\n
Aside from his career as a concert artist, Dr. Teregulov collaborates with living composers from around the world and works tirelessly on expanding the cello repertoire. As a founding member of Homegrown New Music Ensemble in Florida, Eduard commissioned and premiered over 20 original works for his instrument by composers from South Korea, Germany, Russia, Ukraine, Poland, Vietnam, and the United States.\n
Eduard Teregulov holds a Doctor of Musical Arts degree in Cello Performance from Louisiana State University, a Master of Music degree in Cello Performance from University of South Florida, and a Bachelor of Music degree in Cello Performance and Education from Ufa State Academy of Arts.",,1,,https://drive.google.com/file/d/1xxRfZP4JP861KunDsE6ezjhz8oEeBko6/view?usp=share_link,,,
343,AI Phantasy,"AI Phantasy was composed at the GRIS multichannel studio, the University of Montreal in Quebec, Canada | the sound dome MEIT theater at the Center for Experimental Music and Intermedia, University of North Texas, and my home studio.
 One of the main sound-p",Panayiotis Kokoras,Panayiotis Kokoras,University of North Texas,"Kokoras is an internationally award-winning composer and computer music innovator, and currently Professor of composition and CEMI director (Center for Experimental Music and Intermedia) at the University of North Texas. Born in Greece, he studied classical guitar and composition in Athens, Greece and York, England | he taught for many years at Aristotle University in Thessaloniki. Kokoras's sound compositions use sound as the only structural unit. His concept of ""holophonic musical texture"" describes his goal that each independent sound (phonos), contributes equally into the synthesis of the total (holos). In both instrumental and electroacoustic writing, his music calls upon a ""virtuosity of sound,"" a hyper-idiomatic writing which emphasizes on the precise production of variable sound possibilities and the correct distinction between one timbre and another to convey the musical ideas and structure of the piece. His compositional output is also informed by musical research in Music Information Retrieval compositional strategies, Extended techniques, Tactile sound, Hyperidiomaticity, Robotics, Sound and Consciousness. More information at http://www.panayiotiskokoras.com",,1,,https://www.panayiotiskokoras.com/wp-content/uploads/2022/09/NVD0796-1024x987.jpg,,,
345,Mukti - Kahan Re Aaya Tu (______ - ____ __ ___ __),"Kahan Re Aaya Tu is an original composition by two MIR researchers in the Music Technology Group (MTG) at the Universitat Pompeu Fabra (UPF), Barcelona, Jyoti Narang and Thomas Nuttall, under the name Mukti (______). Bonding over a mutual",Thomas Nuttall,Thomas Nuttall | Jyoti Narang,"Universitat Pompeu Fabra, Barcelona","Jyoti and Thomas are both PhD students in the Music Technology Group at the Universitat Pompeu Fabra, Barcelona. Jyoti’s research focus is on expression analysis of vocal performance whilst Thomas dedicates his time to melodic analysis in Indian Art Music.
 
 Ana Tejedor is a Barcelona based filmmaker specialising in science communication.",,1,,https://drive.google.com/file/d/1xGhU0UybkVpK1vI_YTyIx-jU2eLPqpUd/view?usp=sharing,,,
346,‘b.io’: an Audio-Visual Miniature for Saxophone and Computer,‘b.io’ is an output of my research into applications of generative machine learning for real-time interaction. This practice-based research is anchored to my longstanding creative practice as an improvising saxophonist and reflects a more recent fascinati,Mark Hanslip,Mark Hanslip,University of York,"Tenor saxophonist and researcher Mark Hanslip emerged in the mid-2000s as a key player on the London jazz scene, gigging nationally and internationally with groups including Outhouse, Nostalgia 77, Jonathan Bratoeff Quartet and Twelves, and has appeared on over 30 recordings on labels including Babel, F-iRE, Tru Thoughts, FMR and Tombed Visions. Since relocating to the north of England, he has co-led organ trio The Revival Room with keyboardist Adam Fairhall, played in trio with Federico Reuben and Paul Hession, toured with his improvising group HTrio plus guest US trumpeter Nate Wooley and performed with guitarist/composer Elliot Sharp and saxophonists Evan Parker and Paul Dunmall. His doctoral practice-led research at the University of York examines the applications of machine learning to the systematic processes and creative outcomes within improvised music.",,1,,https://drive.google.com/file/d/1kBZhgO3hlMnlNRWsZFlXgTfwXgIu_RTo/view?usp=sharing,,,
347,Fantastic AI Sinawi,"“Fantastic AI Sinawi” is a live performance of a haegeum (__) player with visuals and accompaniment. The music was composed using melodies generated by a GRU-based language model. With the form of “sinawi(___),” one of the most frequently played genres am",Danbinaerin Han,Danbinaerin Han | Hannah Park | Chaeryeong Oh | Dasaem Jeong,"Sogang University, S. Korea","Danbinaerin Han
 Danbinaerin Han graduated from Gugak National Middle School, Gugak National High School, and Seoul National University with a degree in Korean traditional music(Gugak) and is currently active as a Haegeum performer. She performed at Chamber Hall in Sejong Art Center and National Gugak Center and winning prizes in numerous music competitions (Dong-A Korean Traditional Music Competition, Incheon Korean Traditional Music Competition, 21st Korean Music Project, etc.). 
 Under the direction of Professor Dasaem Jeong, she is presently conducting deep learning research on Korean traditional music at the Department of Art & Technology of Sogang University. She is eager to identify the similarities and differences in Eastern music as well as the distinctive melodic characteristics of Korean music. Through analysis and automatic generating of Korean music using cutting-edge technology, she looks for new directions for the genre's evolution.
 
 
 Hannah Park
 Hannah Park is majoring in Computer Science & Engineering and double majoring in Art & Technology. She is interested in the various traces in the world. She expressed our lives using a variety of tools and languages, not limited to just one way. <Planet 4543>, an interactive media art that changes graphics and sound through audience participation, was presented in HCI Korea 2022 Interactive Art Gallary. She hopes her activities can bring happiness to many people, just like the moonlight that lights up the darkness as happiness.
 
 Chaeryeong Oh
 Chaeryeong Oh is a graduate candidate with a Bachelor of Art and Science in Art & Technology and a Bachelor of Science in Computer Science and Engineering. They have focused on human interactions with and various expressions of music, such as using music as a medium to explain diverse topics, a straightforward method of shaping up ideas, a communication system, or exploring fun ways to teach the concept of music theory, under their basis of ""Music for All"" - easy and amusing access to music for everyone. They are currently interested in creating a generalized music framework to aid music creativity and draw entertaining musical interactions. 
 Their work <Tonic Scape>, a VR experience in which users can visually draw the melody, was awarded second place at the KT Super VR game challenge in 2020 and released as game content in KT Super VR. <Need For Sound>, the experience of the possibilities of harmonic grammar, and <Doongdoong.club>, the experience of using music as a communication tool, are presented in HCI Korea in 2019 and 2022.
 They also had an internship for the media artist group Seoul Open Media, whose leader is media artist Byungjun Kwon and enhanced their view of the fusion of Korean traditional culture and high technology. During the apprenticeship, they participated in <The Theater of the Future (미래극장)>, held by Gyeonggi Sinawi Orchestra, a Korean traditional music group of Gyeonggi-do, Korea, by using deep learning to generate new sound with Korean folk music. In Contents Impact: Music Meets AI at Korea Creative Content Agency, they also had an experience using deep learning to generate neo-Korean traditional music and held a concert with the results.
 
 Daseam Jung
 Dasaem Jeong graduated Ph.D. in Culture Technology from KAIST, researching expressive performance modeling with deep learning under the guidance of Prof. Juhan Nam. He is currently an assistant professor at the Dept. of Art & Technology, Sogang University.",,1,,https://drive.google.com/drive/folders/1XX254ETf0uS69IC6Y-NiONF6cKYpLyNV?usp=sharing,,,
348,"""Wings"", for Solo Clarinet and Automated Accompaniment Video Animation","""Wings"" is a work for solo clarinet written by world-renowned classical composer Joan Tower in 1986. Our clarinetist and animator, Nikki Pet, approached Joan Tower to augment her work with animation that emphasizes musical nuance through visual media. We",Kaitlin Pet,Kaitlin Pet | Nikki Pet | Christopher Raphael,"Indiana University, Yale University","Chris Raphael: Christopher Raphael received his PhD in Applied Mathematics at Brown University in 1991, where his studies focused on statistical pattern recognition. He held a postdoctoral appointment in the Statistics department at Stanford, was a research scientist in Arabic character recognition at Bolt Beranek and Newman, and held a faculty position in the Department of Mathematics and Statistics at the University of Massachusetts, Amherst. He came to Indiana University in 2004 where he leads the Music Informatics group in the School of Informatics and Computing and Engineering. His music research includes musical accompaniment systems, algorithmic musical analysis, modelling of musical expression, and optical music recognition. His work in music informatics fuses long-standing interests in music, statistics, and computation. 
 
 
 
 Nikki Pet: Nikki Pet is a masters student at the Yale School of Music, studying with David Shifrin. Prior to studying at Yale, Nikki received a B.A. in computer science from Columbia University, where she was also a member of the Juilliard Exchange Program, studying with Alan Kay. 
 Nikki also produces multimedia performances dedicated to engaging audiences unfamiliar with classical music. Live and digital productions include Stravinsky’s L’Histoire du Soldat, Prokofiev’s Peter and the Wolf (arr. wind quintet), and Bach’s Second Violin Partita (arr. clarinet and oboe duo). Many of these performances can be found on Nikki’s YouTube channel: youtube.com/c/claripet
 
 
 Kaitlin Pet: Kaitlin Pet is an Informatics PhD student in the Intelligent and Interactive Systems track at Indiana University SICE school of Informatics, Computer Science and Engineering. Her research focuses on many aspects of music and artificial intelligence, including music visualization, score-following based flexible and live media, and improving the technology around remote chamber and orchestral playing. She holds a BA in Biology and Computer Science from Columbia University and a GPD from the Hartt School in oboe performance, where she concentrated on oboe chamber performance.",,1,,"Nikki Pet: https://drive.google.com/file/d/1p5G_x1QZASGlR13t56DxvSYxvPxen6JF/view?usp=share_link
 
 
 Chris Raphael:
 https://drive.google.com/file/d/1865SPZD5Upt2zgT-AmFKPjpJ8s2rUcWl/view?usp=share_link
 
 Kaitlin Pet:
 https://drive.google.com/file/d/1juYTi-hFxn-5eknKHjwWlN42oivq6195/view?usp=share_link",,,
349,A song with yati Patterns- Visual representation through Kolam,"In Carnatic music, Yati patterns are the decorative features used in different compositional forms. The patterns are named after the shape they seem like. The existing patterns are Mridanga, Damaru, Sama, Gopuccha, Srotovaha and Vishama yatis. In the pres",Saroja T.K.,Saroja T.K. | Sujatha TKL | Chandrakanth Mamillapalli,"IIIT Hyderabad, Independent Musician","Dr. T.K.Saroja: (Author and vocalist of the work)
 T.K.Saroja has been trained in Carnatic music by Late Sriman.N.Ch.Krishnamacharyulu , a versatile scholar in music and literature. She is a post graduate in Mathematics and also Carnatic music. She pursued her Ph.D in Carntic music. She is currently working as lecturer in the International Institute of Information Technology, Hyderabad and faculty in the University of Silicon Andhra, California an online university promoting Indian Arts, Culture and languages. She has been a visiting faculty at the Center for Cultural Resources and Training (CCRT). Saroja has been a performer, composer and researcher in music alongside her teaching. She has published papers in the international and national conferences and journals. She performs along with her sister Sujatha, the duo known as T.K.Sisters. She has composed music and gave voice for many devotional albums and dance ballets. She has been active in giving lecture demonstrations on varied subjects of music. She has been undergoing training in Hindustani Classical music under Pt.Satish Kashikar.
 
 Dr.T.K.L.Sujatha – Kolam presenter in the work
 T.K.L. Sujatha, disciple of Late Sriman.N.Ch.Krishnamacharyulu is a post graduate in English and Music. She pursued her Ph.D in Carnatic music. She has been into teaching music to students from in and abroad. She is currently teaching at the ‘Indian Raga’, a platform promoting Indian arts. She has published papers in the international and national conferences and journals. She performs along with her sister, Saroja, the duo known as T.K.Sisters. She has given her voice for many devotional albums and dance ballets. She has been a visiting faculty at the Center for Cultural Resources and Training (CCRT). She has been undergoing training in Hindustani Classical music under Pt.Satish Kashikar.
 
 Chandrakanth(Percussionist):
 M.Chandrakanth, disciple of Sri Palakurthi Ramachadra Sarma, completed Diploma and Masters under his guidance. He is a graded artist of All India Radio. Currently working as an Assistant Professor Kuchipudi Department in the University of Silicon Andhra, California.",,1,,https://drive.google.com/file/d/1l0mKW-JKD4aekDDKtX7ZHP4mKUpOLnrV/view?usp=sharing,,,
350,Confluence of Carnatic and Western Music using Grahabedha and Carnatic Gamakas,"Authors:
 Violin: Sreevatsa#
 Ukulele & Vocals: Suswara#
 
 DISCLAIMER: #Equal contribution
 
 The Carnatic raga Sankarabharanam and the major scales of Western music share same note variety. We have considered Cmaj as the base scale. The charanam line (Neeraja",Tallapragada Shanmukha Sreevatsa,Tallapragada Shanmukha Sreevatsa | Suswara Pochampally,"KL University, Hyderabad","Biography - Sreevatsa:
 
 -> Shanmukha Sreevatsa is a final year undergraduate student from KL University Hyderabad, majoring in Electronics and Communication Engineering.
 -> He is currently working as a Research Assistant at the International Institute of Information Technology, Hyderabad, and is working on Historical Document Image Analysis. 
 -> He is a violinist, trained in South Indian Classical (Carnatic) music for the last 15 years under Shri Ashok Gurjale.
 -> He is a National Scholarship holder from CCRT, Ministry of Culture, Govt. of India. He has pursued his Certificate-level and Diploma courses in Carnatic violin from Potti Sreeramulu Telugu University with distinction grades. He has participated in several National-level music competitions | to highlight a few: secured first prize in Baalotsav - National-level Music Competitions (Kothagudem) for 4 years | first and third prizes in Navya Nataka Samiti (Hyderabad) for 3 years. 
 -> He has performed over 100+ live concerts all over India. To highlight a few: Naadaneerajanam, Tirupati | International Children’s Fim Festival, Hyderabad | World Steel Conference, New Delhi
 -> He loves experimenting with Carnatic music with other genres and styles of music and has also been a part of several independent music albums and short films. 
 
 
 Biography - Suswara:
 
 -> Suswara Pochampally is a high school student pursuing Senior Secondary education through the National Institute of Open Schooling.
 -> She is undergoing vocal training in Carnatic music from her mother Dr. T. K. Saroja and Hindustani music from Satish Kashikar ji.
 -> She holds a certificate in Carnatic music.
 -> She is also learning tabla from Uday Kumar Nari, and has finished certificate equivalent course in it.
 -> She is interested in exploring multiple genres of music and performing them.",,1,,https://drive.google.com/file/d/1veyX_oQi5AlabEIkKv-eYQNa1xkWmh_2/view?usp=share_link,,,
352,Conformity #16 for autonomous piano and large ensemble,Conformity #16 is a piece composed by Jason Palamara in conjunction with various AI and machine learning applications and ML-enabled performance filters. The initial musical material was generated using Magenta and AVATAR (developed by Palamara and percus,Jason Palamara,Jason Palamara,Indiana University Purdue University Indianapolis (IUPUI),"Jason Palamara is a technologist and performer on acoustic and electronic instruments. As an Assistant Professor of Music Technology at IUPUI, he specializes in the development and deployment of machine learning-enabled performance technologies for music. He is the founder/director of IUPUI’s 30+ member DISEnsemble (Destructive/Inventive Systems Ensemble), which builds or hacks musical and non-musical stuff and plays live concerts. He regularly performs and composes music for modern dance as a solo artist and maintains a long-term creative partnership percussionist-composer Scott Deal, with whom he developed AVATAR. AVATAR is an autonomous music system uses machine learning to play along with live improvisation.",,1,,https://indiana-my.sharepoint.com/:i:/g/personal/japalama_iu_edu/EboQcbGc0I9ApotyxieuFrYBmniRLb7aYohQJfgl_whhhw?e=uRqQr7,,,
353,The Oratory of Saint Philip Neri,"This piece was not written by me. I did not write the text. I did not write the music. I did not set the text to the music. The text was written by GPT-J and the music and setting of the text were generated by a Markov chain chained on Gregorian chant.
 
 T",Luke Dzwonczyk,Luke Dzwonczyk,"University of California, Berkeley","Luke Dzwonczyk is an M.A./Ph.D. student in music at UC Berkeley, where he works closely with the Center for New Music and Audio Technologies (CNMAT). Recently, he built interactive instruments for the Berkeley Dance Project, created a generative soundtrack for a film installation, and published papers on computer-assisted orchestration. His research interests include computational creativity, audio generation with neural networks, and sound visualization. 
 
 Bass baritone Nicholas Isherwood is one of the leading singers of early music and contemporary music in the world today. He has sung in many of Europe's leading festivals and opera houses. Isherwood has worked closely with composers such as Sylvano Bussotti, Elliott Carter, George Crumb. Hans Werner Henze, Mauricio Kagel, György Kurtág, Olivier Messiaen, Giacinto Scelsi, Iannis Xenakis, among many others. He has improvised with Steve Lacy, Joelle Léandre, David Moss and Sainkho Namtchilak. Isherwood collaborated with Karlheinz Stockhausen for 23 years, singing numerous world premieres, including Montag, Dienstag, and Freitag from Licht.",,1,,"Luke Dzwonczyk headshot: https://drive.google.com/file/d/1CRgFg5XRREpTlol31agL-c_3HA6j5HF1/view?usp=sharing
 Nicholas Isherwood headshot: https://drive.google.com/file/d/1eRJIx-LcC1lktzkgDUMTw1-SF0hdSC36/view?usp=sharing",,,
